blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,agebin
1,PINE CL,19,1998,Y,N,N,N,N,N,GL,156,0,0,0,100,56,0,0,0,0,0,0,0,4
10,CHAI CHEE RD,15,1999,Y,Y,N,N,N,N,BD,84,0,0,0,56,28,0,0,0,0,0,0,0,4
10A,BENDEMEER RD,40,2016,Y,N,N,N,N,N,KWN,220,0,0,71,149,0,0,0,0,0,0,0,0,0
10B,BEDOK STH AVE 2,20,1994,Y,N,N,N,N,N,BD,56,0,0,0,0,0,56,0,0,0,0,0,0,5
10B,BENDEMEER RD,40,2016,Y,N,N,N,N,N,KWN,184,0,0,70,114,0,0,0,0,0,0,0,0,0
10C,BEDOK STH AVE 2,2,1994,Y,N,N,Y,N,N,BD,2,0,0,0,0,0,2,0,0,0,0,0,0,5
10C,BENDEMEER RD,40,2016,Y,N,N,N,N,N,KWN,220,0,0,71,149,0,0,0,0,0,0,0,0,0
10D,BEDOK STH AVE 2,23,1994,Y,N,N,N,N,N,BD,84,0,0,0,0,0,84,0,0,0,0,0,0,5
10E,BEDOK STH AVE 2,21,1992,Y,N,N,N,N,N,BD,81,0,0,0,0,0,81,0,0,0,0,0,0,5
10F,BEDOK STH AVE 2,24,1992,Y,N,N,N,N,N,BD,67,0,0,0,0,0,67,0,0,0,0,0,0,5
104,WHAMPOA DR,19,1997,Y,N,N,N,N,N,KWN,112,0,0,0,65,47,0,0,0,0,0,0,0,4
108B,MCNAIR RD,30,2003,Y,N,N,N,N,N,KWN,174,0,0,0,87,87,0,0,0,0,0,0,0,3
108C,MCNAIR RD,30,2003,Y,N,N,N,N,N,KWN,174,0,0,0,116,58,0,0,0,0,0,0,0,3
109,WHAMPOA RD,14,1996,Y,N,N,Y,N,N,KWN,79,0,0,0,53,26,0,0,0,0,0,0,0,4
11,CHAI CHEE RD,15,1999,Y,Y,N,N,N,N,BD,112,0,0,0,70,42,0,0,0,0,0,0,0,4
11,FARRER PK RD,30,2002,Y,N,N,N,N,N,KWN,174,0,0,0,116,58,0,0,0,0,0,0,0,3
11,PINE CL,19,1998,Y,N,N,N,N,N,GL,156,0,0,0,100,56,0,0,0,0,0,0,0,4
110,WHAMPOA RD,14,1996,Y,N,N,N,N,N,KWN,77,0,0,0,39,38,0,0,0,0,0,0,0,4
111,WHAMPOA RD,14,1997,Y,Y,N,N,N,N,KWN,79,0,0,0,44,35,0,0,0,0,0,0,0,4
112,WHAMPOA RD,18,1993,Y,N,N,Y,N,N,KWN,96,0,0,0,49,47,0,0,0,0,0,0,0,5
113,WHAMPOA RD,18,1993,Y,N,N,N,N,N,KWN,85,0,0,0,35,50,0,0,0,0,0,0,0,5
113A,MCNAIR RD,35,2016,Y,N,N,N,N,N,KWN,198,0,0,0,198,0,0,0,0,0,0,0,0,0
113B,MCNAIR RD,35,2016,Y,N,N,N,N,N,KWN,204,0,0,34,170,0,0,0,0,0,0,0,0,0
113C,MCNAIR RD,28,2016,Y,N,N,N,N,N,KWN,189,0,36,27,81,0,0,0,45,0,0,0,0,0
113D,MCNAIR RD,28,2016,Y,N,N,N,N,N,KWN,270,0,114,54,27,0,0,0,75,0,0,0,0,0
114,WHAMPOA RD,14,1994,Y,N,N,Y,N,N,KWN,75,0,0,0,40,35,0,0,0,0,0,0,0,5
115,WHAMPOA RD,14,1993,Y,N,N,Y,N,N,KWN,98,0,0,0,18,80,0,0,0,0,0,0,0,5
116A,JLN TENTERAM,31,2016,Y,N,N,N,N,N,KWN,204,0,0,90,114,0,0,0,0,0,0,0,0,0
116B,JLN TENTERAM,31,2016,Y,Y,N,N,N,N,KWN,174,0,0,84,90,0,0,0,0,0,0,0,0,0
117A,JLN TENTERAM,30,2016,Y,N,N,N,N,N,KWN,203,0,0,87,116,0,0,0,0,0,0,0,0,0
117B,JLN TENTERAM,30,2016,Y,N,N,N,N,N,KWN,174,0,0,58,116,0,0,0,0,0,0,0,0,0
12,FARRER PK RD,30,2002,Y,N,N,N,N,N,KWN,174,0,0,58,116,0,0,0,0,0,0,0,0,3
13,FARRER PK RD,30,2002,Y,N,N,Y,N,N,KWN,174,0,0,0,116,58,0,0,0,0,0,0,0,3
13,UPP BOON KENG RD,20,1997,Y,N,N,N,N,N,KWN,117,0,0,0,60,57,0,0,0,0,0,0,0,4
14,BEDOK STH AVE 2,24,1994,Y,N,N,N,N,N,BD,95,0,0,0,0,95,0,0,0,0,0,0,0,5
14,UPP BOON KENG RD,20,1997,Y,N,N,N,N,N,KWN,87,0,0,0,30,57,0,0,0,0,0,0,0,4
14A,UPP BOON KENG RD,20,1997,Y,N,N,Y,N,N,KWN,117,0,0,0,60,57,0,0,0,0,0,0,0,4
140,BEDOK NTH ST 2,17,1997,Y,N,N,Y,N,N,BD,140,0,0,0,0,140,0,0,0,0,0,0,0,4
15,FARRER PK RD,30,2002,Y,N,N,N,N,N,KWN,174,0,0,116,58,0,0,0,0,0,0,0,0,3
16,JLN TENTERAM,22,1999,Y,N,N,N,N,N,KWN,154,0,0,0,118,36,0,0,0,0,0,0,0,4
17,JLN TENTERAM,22,1999,Y,Y,N,N,N,N,KWN,133,0,0,0,97,36,0,0,0,0,0,0,0,4
17A,CIRCUIT RD,19,2015,Y,N,N,Y,N,N,GL,72,0,0,0,72,0,0,0,0,0,0,0,0,0
17B,CIRCUIT RD,19,2015,Y,N,N,N,N,N,GL,108,0,0,0,108,0,0,0,0,0,0,0,0,0
18,JLN TENTERAM,28,1999,Y,N,N,N,N,N,KWN,107,0,0,0,51,56,0,0,0,0,0,0,0,4
18A,CIRCUIT RD,19,2015,Y,N,N,N,N,N,GL,104,0,0,52,52,0,0,0,0,0,0,0,0,0
18B,CIRCUIT RD,19,2015,Y,Y,N,N,N,N,GL,120,0,0,52,68,0,0,0,0,0,0,0,0,0
18C,CIRCUIT RD,19,2015,Y,N,N,N,N,N,GL,126,0,0,54,72,0,0,0,0,0,0,0,0,0
18D,CIRCUIT RD,19,2015,Y,N,N,N,N,N,GL,107,0,0,53,54,0,0,0,0,0,0,0,0,0
180,BEDOK NTH RD,20,2004,Y,N,N,N,N,N,BD,156,0,0,0,136,20,0,0,0,0,0,0,0,3
181,BEDOK NTH RD,20,2004,Y,N,N,N,N,N,BD,156,0,0,0,76,80,0,0,0,0,0,0,0,3
182,BEDOK NTH RD,20,2004,Y,N,N,N,N,N,BD,156,0,0,0,136,20,0,0,0,0,0,0,0,3
183,BEDOK NTH RD,20,2003,Y,N,N,N,N,N,BD,144,0,0,0,144,0,0,0,0,0,0,0,0,3
185,BEDOK NTH RD,20,2003,Y,N,N,N,N,N,BD,144,0,0,0,144,0,0,0,0,0,0,0,0,3
186A,BEDOK NTH ST 4,19,2017,Y,N,N,N,N,N,BD,126,0,0,0,90,36,0,0,0,0,0,0,0,0
186B,BEDOK NTH ST 4,19,2017,Y,N,N,N,N,N,BD,126,0,0,36,90,0,0,0,0,0,0,0,0,0
187A,BEDOK NTH ST 4,19,2017,Y,N,N,N,N,N,BD,144,0,0,0,108,36,0,0,0,0,0,0,0,0
187B,BEDOK NTH ST 4,19,2017,Y,N,N,Y,N,N,BD,144,0,0,0,108,36,0,0,0,0,0,0,0,0
188A,BEDOK NTH ST 4,16,2017,Y,N,N,N,N,N,BD,104,0,0,22,82,0,0,0,0,0,0,0,0,0
188B,BEDOK NTH ST 4,16,2017,Y,N,N,N,N,N,BD,84,0,0,58,26,0,0,0,0,0,0,0,0,0
188C,BEDOK NTH ST 4,16,2018,Y,N,N,N,N,N,BD,150,0,62,30,30,0,0,0,28,0,0,0,0,0
188D,BEDOK NTH ST 4,19,2018,Y,N,N,N,N,N,BD,180,0,45,36,36,0,0,0,63,0,0,0,0,0
19,JLN TENTERAM,28,1999,Y,N,N,N,N,N,KWN,107,0,0,0,51,56,0,0,0,0,0,0,0,4
2A,GEYLANG SERAI,19,2010,Y,N,N,N,N,N,GL,93,0,0,0,93,0,0,0,0,0,0,0,0,1
2A,UPP BOON KENG RD,27,2006,Y,N,N,N,N,N,KWN,182,0,0,0,132,50,0,0,0,0,0,0,0,2
2B,GEYLANG SERAI,19,2010,Y,N,N,N,N,N,GL,108,0,0,0,108,0,0,0,0,0,0,0,0,1
2B,UPP BOON KENG RD,29,2006,Y,N,N,N,N,N,KWN,164,0,0,0,110,54,0,0,0,0,0,0,0,2
2C,GEYLANG SERAI,19,2010,Y,N,N,N,N,N,GL,87,0,0,0,87,0,0,0,0,0,0,0,0,1
2C,UPP BOON KENG RD,29,2006,Y,N,N,Y,N,N,KWN,191,0,0,0,137,54,0,0,0,0,0,0,0,2
2D,GEYLANG SERAI,19,2010,Y,N,N,N,N,N,GL,89,0,0,0,89,0,0,0,0,0,0,0,0,1
2D,UPP BOON KENG RD,27,2006,Y,N,N,N,N,N,KWN,182,0,0,0,132,50,0,0,0,0,0,0,0,2
219A,BEDOK CTRL,17,2008,Y,N,N,N,N,N,BD,94,0,0,47,47,0,0,0,0,0,0,0,0,2
219B,BEDOK CTRL,17,2008,Y,N,N,N,N,N,BD,97,0,0,0,66,31,0,0,0,0,0,0,0,2
219C,BEDOK CTRL,17,2008,Y,N,N,N,N,N,BD,95,0,0,0,63,32,0,0,0,0,0,0,0,2
219D,BEDOK CTRL,17,2008,Y,N,N,N,N,N,BD,97,0,0,33,64,0,0,0,0,0,0,0,0,2
220A,BEDOK CTRL,17,2007,Y,N,N,N,N,N,BD,95,0,0,63,32,0,0,0,0,0,0,0,0,2
220B,BEDOK CTRL,17,2008,Y,N,N,N,N,N,BD,97,0,0,0,66,31,0,0,0,0,0,0,0,2
220C,BEDOK CTRL,17,2008,Y,N,N,N,N,N,BD,97,0,0,0,66,31,0,0,0,0,0,0,0,2
221A,BEDOK CTRL,17,2008,Y,N,N,Y,N,N,BD,94,0,0,0,79,15,0,0,0,0,0,0,0,2
221B,BEDOK CTRL,17,2008,Y,N,N,N,N,N,BD,95,0,0,32,63,0,0,0,0,0,0,0,0,2
221C,BEDOK CTRL,17,2008,Y,N,N,N,N,N,BD,97,0,0,33,64,0,0,0,0,0,0,0,0,2
25,CHAI CHEE RD,15,1991,Y,N,N,N,N,N,BD,78,0,0,0,34,44,0,0,0,0,0,0,0,5
25A,ST. GEORGE'S LANE,34,2019,Y,N,N,N,N,N,KWN,287,0,30,62,132,0,0,0,63,0,0,0,0,0
26,CHAI CHEE RD,18,1991,Y,N,N,N,N,N,BD,82,0,0,0,27,55,0,0,0,0,0,0,0,5
26A,ST. GEORGE'S LANE,32,2018,Y,N,N,N,N,N,KWN,240,0,13,62,120,0,0,0,45,0,0,0,0,0
26B,ST. GEORGE'S LANE,32,2018,Y,N,N,N,N,N,KWN,211,0,0,0,211,0,0,0,0,0,0,0,0,0
27,BALAM RD,19,1995,Y,N,N,N,N,N,GL,89,0,0,0,53,36,0,0,0,0,0,0,0,4
27,CHAI CHEE RD,18,1991,Y,N,N,N,N,N,BD,72,0,0,0,41,31,0,0,0,0,0,0,0,5
28,BALAM RD,19,1995,Y,N,N,N,N,N,GL,89,0,0,0,53,36,0,0,0,0,0,0,0,4
28,CASSIA CRES,19,1997,Y,N,N,N,N,N,GL,155,0,0,0,101,54,0,0,0,0,0,0,0,4
29,BALAM RD,19,1995,Y,N,N,N,N,N,GL,89,0,0,0,53,36,0,0,0,0,0,0,0,4
29,CHAI CHEE AVE,17,1995,Y,N,N,N,N,N,BD,60,0,0,0,0,0,60,0,0,0,0,0,0,4
29A,CHAI CHEE AVE,15,1995,Y,Y,N,N,N,N,BD,68,0,0,0,0,0,68,0,0,0,0,0,0,4
3,PINE CL,19,1998,Y,N,N,N,N,N,GL,156,0,0,0,100,56,0,0,0,0,0,0,0,4
3A,GEYLANG SERAI,19,2010,Y,N,N,N,N,N,GL,70,0,0,0,70,0,0,0,0,0,0,0,0,1
3A,UPP BOON KENG RD,26,2006,Y,N,N,N,N,N,KWN,175,0,0,0,127,48,0,0,0,0,0,0,0,2
3B,UPP BOON KENG RD,25,2005,Y,N,N,N,N,N,KWN,142,0,0,0,96,46,0,0,0,0,0,0,0,2
3C,UPP BOON KENG RD,26,2006,Y,N,N,N,N,N,KWN,173,0,0,0,125,48,0,0,0,0,0,0,0,2
3D,UPP BOON KENG RD,26,2006,Y,N,N,N,N,N,KWN,175,0,0,0,127,48,0,0,0,0,0,0,0,2
30,CASSIA CRES,19,1997,Y,N,N,N,N,N,GL,155,0,0,0,101,54,0,0,0,0,0,0,0,4
31,EUNOS CRES,19,2005,Y,N,N,N,N,N,GL,157,0,4,72,68,0,0,0,13,0,0,0,0,2
32,EUNOS CRES,19,2005,Y,N,N,N,N,N,GL,159,0,4,36,69,0,0,0,50,0,0,0,0,2
33,BALAM RD,20,1994,Y,N,N,Y,N,N,GL,94,0,0,0,47,47,0,0,0,0,0,0,0,5
33,EUNOS CRES,19,2005,Y,N,N,N,N,N,GL,159,0,7,72,51,0,0,0,29,0,0,0,0,2
34,EUNOS CRES,19,2005,Y,N,N,N,N,N,GL,104,0,0,35,52,17,0,0,0,0,0,0,0,2
35,EUNOS CRES,19,2005,Y,N,N,N,N,N,GL,104,0,0,35,52,17,0,0,0,0,0,0,0,2
36,EUNOS CRES,19,2005,Y,N,N,N,N,N,GL,104,0,0,35,52,17,0,0,0,0,0,0,0,2
37,CAMBRIDGE RD,15,1997,Y,N,N,N,N,N,KWN,70,0,0,0,42,28,0,0,0,0,0,0,0,4
38,CAMBRIDGE RD,15,1997,Y,N,N,N,N,N,KWN,70,0,0,0,42,28,0,0,0,0,0,0,0,4
38A,BENDEMEER RD,26,2010,Y,N,N,Y,N,N,KWN,170,0,0,0,120,50,0,0,0,0,0,0,0,1
38B,BENDEMEER RD,26,2010,Y,N,N,N,N,N,KWN,170,0,0,65,105,0,0,0,0,0,0,0,0,1
38C,BENDEMEER RD,25,2010,Y,N,N,N,N,N,KWN,166,0,0,69,97,0,0,0,0,0,0,0,0,1
38D,BENDEMEER RD,24,2010,Y,N,N,N,N,N,KWN,162,0,0,61,101,0,0,0,0,0,0,0,0,1
39,CAMBRIDGE RD,15,1997,Y,N,N,N,N,N,KWN,70,0,0,0,42,28,0,0,0,0,0,0,0,4
39,JLN TIGA,19,2003,Y,Y,N,N,N,N,GL,70,0,0,0,36,34,0,0,0,0,0,0,0,3
39A,BENDEMEER RD,27,2010,Y,N,N,N,N,N,KWN,148,0,0,22,126,0,0,0,0,0,0,0,0,1
4,BOON KENG RD,13,1995,Y,N,N,Y,N,N,KWN,93,0,0,0,88,5,0,0,0,0,0,0,0,4
4B,ST. GEORGE'S LANE,14,1995,Y,N,N,N,N,N,KWN,123,0,0,0,88,35,0,0,0,0,0,0,0,4
